Unit_Name,Faction_Name,Faction_Abilities,Standard_Abilities,Has_Sustain_Damage,Cost,Combat,Combat_Value,Shots,Move,Capacity,Unit_Type,Name,Ability,Unit Type
,,,,False,1,7,7,1,2,1,,Strike Wing Alpha II,"Anti-Fighter Barrage 6 (x3) When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponents infantry in the space area of the active system",Destroyer
,,,,False,1,8,8,1,2,0,,Destroyer II,Anti-Fighter Barrage 6 (x3),Destroyer
,,,,False,1,8^,8,1,2,1,,Strike Wing Alpha I,Anti-Fighter Barrage 9 (x2),Destroyer
,,,,False,1,9^,9,1,2,0,,Destroyer,Anti-Fighter Barrage 9 (x2),Destroyer
,,,,False,1 (x2),7,7,1,2,0,,Hybrid Crystal Fighter II,This unit may move without being transported. Each fighter in excess of your ships' capacity counts as 1/2 of a ship against your fleet pool.,Fighter
,,,,False,1 (x2),8,8,1,2,0,,Fighter II,This unit may move without being transported. Fighters in excess of your ships' capacity count against your fleet pool,Fighter
,,,,False,1 (x2),8^,8,1,-^,0,,Hybrid Crystal Fighter,,Fighter
,,,,False,1 (x2),9^,9,1,-^,0,,Fighter,,Fighter
,,,,False,2,6,6,1,3,1,,Cruiser II,,Cruiser
,,,,False,2,7^,7,1,2^,-^,,Cruiser,,Cruiser
,,,,False,2,7^,7,1,2^,1^,,Saturn Engine I,,Cruiser
,,,,False,3,9,9,1,1^,4^,,Carrier,,Carrier
,,,,False,3,9,9,1,1^,6^,,Advanced Carrier,,Carrier
,,,,False,3,9,9,1,2,6,,Carrier II,,Carrier
,,,,True,10,3 (x3),3,3,3,6,,Prototype War Sun II,Other players' units in this system lose their Planetary Shield ability Sustain Damage Bombardment 3 (x3),War_Sun
,,,,True,12,3 (x3),3,3,2,6,,War Sun,Other players' units in this system lose their Planetary Shield ability Sustain Damage Bombardment 3 (x3),War_Sun
,,,,True,12^,3 (x3),3,3,1^,6,,Prototype War Sun I,Other players' units in this system lose their Planetary Shield ability Sustain Damage Bombardment 3 (x3),War_Sun
,,,,True,2,6,6,1,3,2,,Saturn Engine II,Sustain Damage,Cruiser
,,,,True,3,9,9,1,2,8,,Advanced Carrier II,Sustain Damage,Carrier
,,,,True,4,4,4,1,2,2,,Super-Dreadnought II,"""Direct Hit"" cards are no longer effective against this type of ship. Sustain Damage Bombardment 4",Dreadnought
,,,,True,4,5,5,1,1^,1,,Dreadnought,Sustain Damage Bombardment 5,Dreadnought
,,,,True,4,5,5,1,1^,1,,Exotrireme,Sustain Damage Bombardment 4 (x2),Dreadnought
,,,,True,4,5,5,1,2,1,,Dreadnought II,"""Direct Hit"" cards are no longer effective against this type of ship. Sustain Damage Bombardment 5",Dreadnought
,,,,True,4,5,5,1,2,1,,Exotrireme II,"After a round of space combat, you may destroy this unit to destroy up to 2 ships in this system. ""Direct Hit"" cards are no longer effective against this type of ship. Sustain Damage Bombardment 4 (x2)",Dreadnought
